english,polish,order
red,czerwony,1
orange,pomarańczowy,2
yellow,żółty,3
green,zielony,4
blue,niebieski,5
purple,fioletowy,6
pink,różowy,7
brown,brązowy,8
black,czarny,9
white,biały,10
grey,szary,11
