english,polish,order
one,jeden,1
two,dwa,2
three,trzy,3
four,cztery,4
five,pięć,5
six,sześć,6
seven,siedem,7
eight,osiem,8
nine,dziewięć,9
ten,dziesięć,10
eleven,jedenaście,11
twelve,dwanaście,12
thirteen,trzynaście,13
fourteen,czternaście,14
fifteen,piętnaście,15
sixteen,szesnaście,16
seventeen,siedemnaście,17
eighteen,osiemnaście,18
nineteen,dziewiętnaście,19
twenty,dwadzieścia,20
